country_region,period,name_day_of_week,day_of_week,avg_retail_recreation,avg_workplaces
France,after_pandemic,Dim,1,-4.7018893850910342,-3.6707391986895086
France,after_pandemic,Jeu,5,-13.28702826998512,-26.435151515151517
France,after_pandemic,Lun,2,-10.482244510707506,-28.302848676678558
France,after_pandemic,Mar,3,-10.039466558353642,-24.876632996632992
France,after_pandemic,Mer,4,-14.277762748545921,-24.220837823275865
France,after_pandemic,Sam,7,-20.6163967611336,-10.697887846683313
France,after_pandemic,Ven,6,-16.718076845161729,-26.6969696969697
France,before_pandemic,Dim,1,-0.47636363636363671,-1.1163636363636362
France,before_pandemic,Jeu,5,-3.045454545454545,-9.5954545454545457
France,before_pandemic,Lun,2,-0.131818181818182,-9.5636363636363591
France,before_pandemic,Mar,3,1.2863636363636362,-8.775
France,before_pandemic,Mer,4,-3.4840909090909089,-7.4954545454545451
France,before_pandemic,Sam,7,-6.1054545454545464,-2.6327272727272724
France,before_pandemic,Ven,6,-1.7340909090909085,-9.29318181818182
Germany,after_pandemic,Dim,1,-13.923178226514485,2.7857769973661104
Germany,after_pandemic,Jeu,5,-15.125054466230933,-23.81917211328976
Germany,after_pandemic,Lun,2,-13.555555555555557,-24.94074074074074
Germany,after_pandemic,Mar,3,-11.816557734204791,-21.545533769063184
Germany,after_pandemic,Mer,4,-11.583442265795206,-21.425708061002176
Germany,after_pandemic,Sam,7,-22.941612200435728,-3.3464052287581696
Germany,after_pandemic,Ven,6,-18.791285403050107,-24.755555555555546
Germany,before_pandemic,Dim,1,2.3647058823529408,-0.78823529411764681
Germany,before_pandemic,Jeu,5,-1.9264705882352946,-3.2941176470588234
Germany,before_pandemic,Lun,2,1.4411764705882353,-4.632352941176471
Germany,before_pandemic,Mar,3,-0.3970588235294118,-4.0441176470588243
Germany,before_pandemic,Mer,4,0.073529411764705885,-2.8970588235294117
Germany,before_pandemic,Sam,7,-1.2117647058823529,-0.90588235294117669
Germany,before_pandemic,Ven,6,-2.1617647058823537,-4.4411764705882355