foodId,label,category,image,foodContentsLabel
food_bu12urpbtuo9v6b4jpvk2a1fh4hh,"Champagne Simply Dressed Vinaigrette, Champagne",Packaged foods,https://www.edamam.com/food-img/736/736a3e27a63d799d4073d2774075b509.png,FILTERED WATER; CANOLA OIL; CHAMPAGNE AND WHITE WINE VINEGARS; CANE SUGAR; EXTRA VIRGIN OLIVE OIL; SALT; NATURAL FLAVOR; GARLIC*; SPICE; XANTHAN GUM; BELL PEPPER*.
food_b48c55sagj89z4afsne5dar76h4x,Champagne Vinegar,Packaged foods,https://www.edamam.com/food-img/ad8/ad8c8d6ba8216b73e2998d94959b25a9.jpg,CHAMPAGNE VINEGAR DILUTED WITH WATER TO 7% ACIDITY (70 GRAIN); POTASSIUM METABISULFITE (PRESERVATIVE).
food_bb0nrsgbser5g4ac2enxib1deyh8,Champagne Mustard,Packaged foods,https://www.edamam.com/food-img/775/775b39c0b0da1f6c74996da8fa258cdd.jpg,DIJON MUSTARD (VINEGAR; WATER; MUSTARD SEED; SALT; WHITE WINE; CITRIC ACID; TARTARIC ACID; SPICES); HONEY; PURE CANE SUGAR; MAPLE SYRUP; CHAMPAGNE; CURRY POWDER; SPICES.
food_arm1rlyb5v81v6arurmjqb6xiy9t,"Light Champagne Dressing, Light Champagne",Packaged foods,https://www.edamam.com/food-img/ee0/ee0475f45bf2e9ac0777092afd7497ae.jpg,WATER; SOYBEAN OIL; WHITE WINE (PRESERVED WITH SULFITES); WHITE WINE VINEGAR; SALT; SUGAR; SPICES (INCLUDING MUSTARD SEED); MONOSODIUM GLUTAMATE; GARLIC*; ONION*; XANTHAN GUM; SODIUM BENZOATE AND POTASSIUM SORBATE ADDED AS PRESERVATIVES; MOLASSES; CALCIUM DISODIUM EDTA ADDED TO PROTECT FLAVOR; VINEGAR; CORN SYRUP; CARAMEL COLOR; CHIVES*; TAMARIND; NATURAL FLAVORS.
food_bzb3i0lbxkz4nnbv10dsladd965e,Inglenook  Champagne,Packaged foods,https://www.edamam.com/food-img/cb3/cb33b008dbd043800eadebc05310ea1a.jpg,Dealcoholized Champagne; Water; Grape Juice Concentrate; Carbon Dioxide; Citric Acid; Potassium Benzoate; And Sulfur Dioxide; To Preserve Freshness
food_byl67wcbbfw82ua6j1n7oa6ago4a,Cola Champagne,Packaged foods,https://www.edamam.com/food-img/f82/f82d164536a6df0792fddd9b1cb77f5e.jpg,CARBONATED WATER; HIGH FRUCTOSE CORN SYRUP; ARTIFICIAL FLAVOR; FD&C YELLOW #6; FD&C YELLOW #5; CITRIC ACID.
food_b3iaz2gav39j6abdpavjka0qgz2e,Cola Champagne,Packaged foods,https://www.edamam.com/food-img/b4b/b4b747a25b7f490f6894cb6693c5d4a5.jpg,CARBONATED WATER; HIGH FRUCTOSE CORN SYRUP; ARTIFICIAL FLAVOR; POTASSIUM BENZOATE (PRESERVATIVE); YELLOW #6; YELLOW #5.
food_bsck64rasshe3aag46w4dbq3ip81,Champagne Reserve Vinegar,Packaged foods,https://www.edamam.com/food-img/d2d/d2dcfa4b43a6ba7e87a250a0015b129a.jpg,CHAMPAGNE VINEGAR
food_b2y7rqqan02gndal9taplb4idv5j,Girard's Champagne Vinaigrette,Packaged foods,https://www.edamam.com/food-img/189/18997efa765ffd1db2231aa91e7d99e8,Canola and Soybean Oil; White Wine; Contains Sulfites; Water; Vinegars; Champagne and White Wine; Sugar; Salt; Mustard Seed; Monosodium Glutamate; Garlic*; Onion*; Spice; Xanthan Gum; Molasses; Calcium Disodium EDTA Added To Protect Flavor; Chives*; Tamarind; *Dried
food_b2exrzmbb6rq7za4wsvoeaga4q09,Champagne Vinaigrette Dressing,Packaged foods,https://www.edamam.com/food-img/c08/c085cc31e247dc12ddb45e2ed8c461ba.jpg,CANOLA OIL; HONEY; CHAMPAGNE VINEGAR; WATER; DIJON MUSTARD (VINEGAR; WATER; MUSTARD SEED; SALT; WHITE WINE; CITRIC ACID; TARTARIC ACID; SPICES); RICE WINE VINEGAR; CRUSHED CAPERS (CAPERS; WATER; VINEGAR; SALT); CONCENTRATED GRAPE JUICE; GARLIC PUREE (GARLIC; CITRIC ACID); SALT; SPICES; MIXED TOCOPHEROLS (ANTIOXIDANT - VITAMIN E).
food_bigcd00bbt77wnb18swn1bgo7jlp,Super a Champagne Cola,Packaged foods,https://www.edamam.com/food-img/ab7/ab75996978d579a0b6b163ea3ffb63ff.png,TRIPLE FILTERED CARBONATED WATER; HIGH FRUCTOSE CORN SYRUP; NATURAL AND ARTIFICIAL FLAVORS; CITRIC ACID; FD&C YELLOW #6; SODIUM BENZOATE(A PRESERVATIVE).
food_bh8puc9bsjwlnob6zgcbeavt2stn,Couronne Fruit Champagne,Packaged foods,https://www.edamam.com/food-img/963/9633e24decdc42ed674fdc787623b492.png,CARBONATED WATER; SUGAR; CITRIC ACID; SODIUM BENZOATE (AS PRESERVATIVE); SODIUM SACCHARINE; NATURAL AND ARTIFICIAL FLAVORS; COLOR.
food_atiqtraahw7yulamkttyyaguv817,"o, Champagne Vinegar, Pomegranate",Packaged foods,https://www.edamam.com/food-img/21f/21f3831f2b3883ebecd178aba26a49d7.jpg,CHAMPAGNE WINE VINEGAR; POMEGRANATES ACIDITY 6%; CONTAINS NATURALLY OCCURRING SULFITES
food_aiz12aibofk013bjmh3q5ai3y6p5,Raspberry Peach Champagne Jam,Packaged foods,https://www.edamam.com/food-img/b2d/b2d51560c3623efd824b8489535e4b1d.jpg,FRUIT (RASPBERRIES; PEACHES); PURE CANE SUGAR; FRUIT PECTIN; CHAMPAGNE; LEMON JUICE; CITRIC ACID; SPICES
food_b0kbxfeamz0wwjagcfxawao9z3xn,"Dg Genuine, Jamaican Flavored Soda, Kola Champagne, Kola Champagne",Packaged foods,https://www.edamam.com/food-img/220/220d79243fa2812fa577f004cdc3a2ce.jpg,TRIPLE FILTERED CARBONATED WATER; HIGH FRUCTOSE CORN SYRUP; NATURAL AND ARTIFICIAL FLAVORS; CITRIC ACID; SODIUM BENZOATE (A PRESERVATIVE); AND ARTIFICIAL COLOR (FD&C YELLOW #6).
food_a90gdp4amdzbf1bz8h8yla5fiy47,Key Food Champagne Cola,Packaged foods,https://www.edamam.com/food-img/077/077d02bb883b33eab93a5ef2a86c42fc.png,TRIPLE FILTERED CARBONATED WATER; HIGH FRUCTOSE CORN SYRUP; NATURAL AND ARTIFICIAL FLAVORS; CITRIC ACID; FD&C YELLOW #6; SODIUM BENZOATE (A PRESERVATIVE); SUCRALOSE.
